Comment,Emotion,Clean_Comment
i feel a lot of pressure but i am determined to finish them so that i can visit my sister in may with a clear conscience,joy,feel lot pressure determined finish visit sister may clear conscience
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger,feel getting agitated something insignificant feeling bored going remember quote
i feel bitchy i guess,anger,feel bitchy guess
i much regret that i allowed johann to accompany me from khartoum i feel convinced he can never rally from his present descara,joy,much regret allowed johann accompany khartoum feel convinced never rally present descara
i feel have been convinced by many factors in our culture of a kind of cooking mystique,joy,feel convinced many factor culture kind cooking mystique
im feeling very angry kind of sad tired and bored today,anger,im feeling angry kind sad tired bored today
im feeling a much more festive with the tree in,joy,im feeling much festive tree
i feel like as a creative professional you need to have that unpressed creative outlet to get re inspired,joy,feel like creative professional need unpressed creative outlet get inspired
i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn,fear,feel distressed supportive campaign senator jackson told cnn
i feel like i am being obnoxious by posting every three seconds,anger,feel like obnoxious posting every three second
a girl entered in the division where i work and greeted everybody but not me,anger,girl entered division work greeted everybody
i started to feel apprehensive about it,fear,started feel apprehensive
i should not feel afraid we can stop shoulding all over ourselves,fear,feel afraid stop shoulding
im feeling bitter towards them god,anger,im feeling bitter towards god
im being a teenager people and if you feel the need to make sarcastic bitchy comments you can kindly fuck off,anger,im teenager people feel need make sarcastic bitchy comment kindly fuck
